BA,Local date,Time zone,Generation only?,Demand forecast,Demand,Net generation,Total interchange,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: GEO,NG: WAT,NG: PS,NG: SUN,NG: SNB,NG: WND,NG: WNB,NG: BAT,NG: OES,NG: UES,NG: OTH,NG: UNK,AZPS,BANC,BPAT,CEN,CFE,IID,LDWP,NEVP,PACW,SRP,TIDC,WALC,Subregion PGAE,Subregion SDGE,Subregion SCE,Subregion VEA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
CISO,01Jan2024,Pacific,N,"505,185","516,401","423,986","-69,238",0,"251,816","53,836","1,105",,"48,816",,"65,765",,"7,382",,,,,"-4,732",,"-21,770","13,380","12,469",680,,"-10,010","4,632","-29,228",272,"-35,983",289,"-3,969","236,321","47,323","230,712","2,044",,0.89,2.03,0,"101,349","1,016",710,"103,076","32,067","7,603","127,540","439,551","508,789",0.52,0.55
CISO,02Jan2024,Pacific,N,"557,053","569,197","486,661","-62,774",0,"284,983","53,872","1,104",,"55,284",,"68,918",,"11,923",,,,,"10,572",,"-22,920","18,260","12,111","1,660",,"-10,221","7,312","-29,495",78,"-35,238",-52,"-4,269","260,282","49,928","256,736","2,252",,0.89,2.03,0,"114,701","1,015",808,"116,525","30,894","9,502","137,917","498,363","561,137",0.52,0.54
CISO,03Jan2024,Pacific,N,"562,808","578,665","513,682","-46,860",0,"279,832","53,948","1,104",,"57,270",,"49,737",,"73,722",,,,,"-1,930",,"-21,020","20,727","18,331","2,384",,"-8,796","11,399","-25,527",0,"-39,940",-296,"-4,122","261,789","55,045","259,811","2,022",,0.89,2.03,0,"112,548","1,014",924,"114,487","31,538","12,011","134,014","523,823","570,683",0.48,0.52
CISO,04Jan2024,Pacific,N,"573,171","578,570","506,801","-58,062",0,"262,794","54,128","1,102",,"52,999",,"83,201",,"56,779",,,,,"-4,201",,"-19,558","9,768","6,969","2,630",,"-8,635","11,103","-24,706",195,"-34,323",-24,"-1,481","260,011","51,927","264,366","2,264",,0.89,2.03,0,"106,017","1,014",998,"108,030","28,003","7,047","128,987","526,232","584,294",0.45,0.49
CISO,05Jan2024,Pacific,N,"552,253","573,781","458,636","-95,410",0,"261,911","54,100","1,103",,"50,886",,"65,481",,"26,056",,,,,-896,,"-23,582","2,687","-3,016","2,839",,"-8,570",653,"-25,871",155,"-38,378",-26,"-2,301","253,171","53,448","265,068","2,095",,0.89,2.03,0,"105,610","1,017",805,"107,432","33,582","2,868","138,146","474,512","569,922",0.50,0.53
CISO,06Jan2024,Pacific,N,"522,317","556,118","423,910","-117,886",0,"226,064","54,061","1,103",,"41,601",,"62,332",,"38,065",,,,,687,,"-22,820","-1,408","-14,179","2,168",,"-9,408","-8,246","-26,461",-67,"-34,689",-160,"-2,616","264,384","47,368","242,113","2,255",,0.89,2.03,0,"91,194","1,014",790,"92,998","34,542",997,"126,544","434,856","552,742",0.47,0.50
CISO,07Jan2024,Pacific,N,"507,277","538,558","494,567","-28,238",0,"245,751","54,264","1,103",,"38,874",,"81,969",,"73,630",,,,,"-1,024",,"-15,539","13,356","10,879","2,179",,"-8,813","20,300","-22,362",241,"-25,976",-156,"-2,347","253,844","46,408","235,824","2,479",,0.89,2.03,0,"99,447","1,014","1,023","101,484","23,716","8,939","116,260","515,519","543,757",0.43,0.47
CISO,08Jan2024,Pacific,N,"581,769","606,057","555,530","-43,374",0,"345,331","54,301","1,104",,"45,827",,"89,635",,"20,636",,,,,"-1,299",,"-21,315","7,779","15,502","4,806",,"-6,743","18,302","-27,443",417,"-33,620",-738,-321,"274,078","54,275","275,069","2,634",,0.89,2.03,0,"139,920","1,017",877,"141,813","29,379","11,342","159,851","576,766","620,140",0.54,0.57
CISO,09Jan2024,Pacific,N,"586,757","605,344","528,147","-61,294",0,"317,095","54,273","1,101",,"41,979",,"81,727",,"45,379",,,,,"-13,402",,"-20,098","5,846","-4,694","8,938",,"-6,087","3,372","-19,673",90,"-30,624",-93,"1,729","276,466","54,643","271,547","2,685",,0.89,2.03,0,"128,275","1,013",890,"130,178","26,036","5,807","150,407","551,932","613,226",0.52,0.54
CISO,10Jan2024,Pacific,N,"586,449","609,056","548,350","-51,285",0,"294,163","54,389","1,091",,"45,755",,"73,700",,"78,528",,,,,725,,"-24,262","14,744","10,893","7,813",,"-6,059","8,022","-24,892",357,"-36,741",-97,"-1,063","280,640","55,701","270,024","2,692",,0.89,2.03,0,"118,954","1,004","1,027","120,985","29,845","9,499","141,331","565,088","616,373",0.47,0.51
CISO,11Jan2024,Pacific,N,"572,229","589,478","553,340","-25,580",0,"311,885","54,429","1,078",,"44,848",,"80,122",,"62,470",,,,,"-1,491",,"-22,145","17,563","22,218","7,530",,"-6,013","14,667","-24,311",488,"-35,103",-205,-269,"272,146","51,732","263,001","2,596",,0.89,2.03,0,"126,440",993,983,"128,416","29,226","14,540","143,103","571,295","596,875",0.50,0.53
CISO,12Jan2024,Pacific,N,"573,907","606,165","592,875","-3,794",0,"361,957","54,429","1,103",,"49,480",,"76,715",,"46,805",,,,,"2,391",,"-24,666","29,655","40,013","6,016",,"-6,739","12,405","-24,431",643,"-34,875",-664,"-1,151","280,820","52,655","269,932","2,762",,0.89,2.03,0,"146,407","1,016",942,"148,365","29,509","22,152","155,722","610,650","614,444",0.54,0.56
CISO,13Jan2024,Pacific,N,"536,198","564,695","548,916","-4,524",0,"328,906","54,450","1,099",,"45,409",,"65,033",,"52,878",,,,,"1,143",,"-23,124","29,515","46,709","2,988",,"-7,677","10,165","-27,937",694,"-33,365",-132,"-2,360","264,824","48,640","248,817","2,415",,0.89,2.03,0,"132,634","1,013",896,"134,543","30,336","22,598","142,282","565,410","569,934",0.52,0.55
CISO,14Jan2024,Pacific,N,"497,826","526,998","515,391","1,814",0,"293,797","54,462",940,,"48,248",,"69,929",,"56,901",,,,,"-8,889",,"-20,668","25,204","45,187",-254,,"-7,434","16,706","-25,622",194,"-29,429",-524,"-1,546","239,569","48,839","236,391","2,198",,0.88,2.03,0,"117,887",,920,"119,684","27,572","20,861","126,395","536,394","534,580",0.49,0.52
CISO,15Jan2024,Pacific,N,"546,396","563,136","543,673","-6,803",0,"354,853","54,441",-55,,"53,900",,"61,336",,"14,574",,,,,"4,630",,"-19,669","22,074","40,760","3,754",,"-6,903","12,396","-27,754",-183,"-27,671",-528,"-3,079","256,589","50,004","254,336","2,209",,0.89,2.03,0,"142,976",,772,"143,748","27,413","21,373","149,788","557,570","564,373",0.57,0.59
